nickname,score,Ghost - timestamp,Ghost - score,Random Cycles - timestamp,Random Cycles - score,Easy login - timestamp,Easy login - score,Age Calculator Pro - timestamp,Age Calculator Pro - score,Pretty please - timestamp,Pretty please - score,ToDO - timestamp,ToDO - score,Monty Hall - timestamp,Monty Hall - score,Random Cycles Baby - timestamp,Random Cycles Baby - score,Sanity check - timestamp,Sanity check - score,Secure Filemanager - timestamp,Secure Filemanager - score,ARX designer - timestamp,ARX designer - score,Section31 - timestamp,Section31 - score
magicfrank,2000,1712415016485,175,1712411376617,300,1712411664357,150,1712415557461,275,1712411924641,100,1712414255976,200,1712417177311,225,1712408682818,125,1712411403218,50,1712411434484,125,1712409206037,200,1712414331712,75
c0mm4nd_,2000,1712408803883,175,1712418191167,300,1712409576401,150,1712408622907,275,1712409430797,100,1712411420342,200,1712413338238,225,1712409802160,125,1712409369626,50,1712409477185,125,1712410175726,200,1712408995832,75
DevZero,1700,1712409809669,175,,,1712410873375,150,1712410486121,275,1712408550774,100,1712418139956,200,1712417697775,225,1712412897070,125,1712408405743,50,1712410574097,125,1712419414495,200,1712408702230,75
akz,1700,1712408886587,175,,,1712411514089,150,1712410927987,275,1712411801500,100,1712420548924,200,1712422454195,225,1712413098656,125,1712410950339,50,1712411387560,125,1712416450107,200,1712408502740,75
minipif,1500,1712410036090,175,,,1712409899251,150,1712409058264,275,1712409181645,100,,,1712413138133,225,1712409723938,125,1712408440185,50,1712409230246,125,1712413552968,200,1712408504355,75
ImNotFanta,1500,1712412697765,175,,,1712408802914,150,1712413072901,275,1712408668648,100,,,1712416650562,225,1712409692973,125,1712408406457,50,1712408705406,125,1712414726222,200,1712408946945,75
Giak77,1500,1712410685876,175,,,1712409044247,150,1712410225815,275,1712408756785,100,,,1712417904006,225,1712414346958,125,1712408404827,50,1712408670664,125,1712413902302,200,1712408613287,75
elvar333,1500,1712409622862,175,,,1712408510263,150,1712410356489,275,1712408631649,100,1712419839211,200,1712411686484,225,1712416018755,125,1712408573280,50,1712408568785,125,,,1712409420972,75
fkania2,1500,1712415403205,175,,,1712413939661,150,1712418802281,275,1712410548935,100,1712412031086,200,1712422370691,225,1712419814091,125,1712418883179,50,1712413753833,125,,,1712414375698,75
Gabrain24,1475,1712412513639,175,,,1712412556028,150,1712412523243,275,1712412530669,100,1712419957593,200,,,1712412565020,125,1712408405781,50,1712412542646,125,1712420605773,200,1712412653238,75
Rafa10,1475,1712409025967,175,,,1712417516628,150,1712411140922,275,1712414688506,100,1712418948208,200,,,1712416119735,125,1712414336174,50,1712414451511,125,1712420709844,200,1712408644488,75
