nickname,score,Another Matrix KE - timestamp,Another Matrix KE - score,Who will win the branded swag bags? :D - timestamp,Who will win the branded swag bags? :D - score,fsvm - timestamp,fsvm - score,Perfect Shop - timestamp,Perfect Shop - score,Flags distribution Inc. - timestamp,Flags distribution Inc. - score,No Headache - timestamp,No Headache - score,Line crosser - timestamp,Line crosser - score,fsvm 2 - timestamp,fsvm 2 - score,Fileshare - timestamp,Fileshare - score,Spiky Crypto - timestamp,Spiky Crypto - score,Stealing Seeds - timestamp,Stealing Seeds - score,CableFish - timestamp,CableFish - score,ProtolessWaf - timestamp,ProtolessWaf - score,🪐RoverMaster🪐 - timestamp,🪐RoverMaster🪐 - score,back2basics - timestamp,back2basics - score,Life Quiz - timestamp,Life Quiz - score
Popax21,1791,1711022392389,197,1710756351607,50,1710779328419,50,1710763673269,50,1710857963852,180,1710868732389,148,1710878645941,80,1710949982544,53,1710845784921,50,1710842432664,97,1710942267961,69,1710757833197,50,1710932784661,50,1711063179744,255,1711095944467,307,1711016453326,105
adragos,1643,1711062656347,197,1710794407316,50,1710799764302,50,1710799271002,50,1711072079703,180,,,1711049019965,80,1710980524779,53,1710884952327,50,1710813138200,97,1710968042031,69,1710795048332,50,1710939137933,50,1711129646967,255,1711313302339,307,1710937556680,105
LevitatingLion,1594,,,1710852152592,50,1710875200987,50,1710872548163,50,1710898154015,180,1710852130836,148,1710877062045,80,1710880078271,53,1710886998426,50,1710888888832,97,1710949822958,69,1710787481709,50,1710930538167,50,1710970634000,255,1711081228042,307,1710996797416,105
hlt,1379,1711035618228,197,1710767430095,50,1710776820256,50,1710772783475,50,1710953305412,180,1710797373136,148,1710968339387,80,1710959051047,53,1710972613190,50,1711052876884,97,1710977367900,69,1710767628398,50,1710949417955,50,1710992382439,255,,,,
TheBadGod,1309,,,1710762103380,50,1710761983855,50,1710795049087,50,,,1710776428517,148,1710855557469,80,1710849301826,53,1710850928882,50,1710802171467,97,1711008698671,69,1710764346990,50,1710950341192,50,1711042017098,255,1711024089647,307,,
0x6fe1be2,1287,,,1710756050960,50,1710837576739,50,1710845740854,50,1711206787872,180,1710797994644,148,1710862539188,80,1710881727134,53,1710851155720,50,1711108475294,97,1711027928644,69,1710798680530,50,1711010059983,50,1710964692202,255,,,1711143658892,105
berndoJ,1283,1710855731713,197,1710756115443,50,1710839580475,50,1710887214010,50,1711313907959,180,,,1711295201826,80,1710872100893,53,1710949892718,50,1710783124423,97,1710954600245,69,1710787472235,50,1710958585029,50,,,1711221812470,307,,
Diff-fusion,1084,,,1710756089413,50,,,,,1710950736323,180,1710890325603,148,1711045965656,80,,,,,1711063408825,97,1711054073630,69,1710760578648,50,1711012928732,50,1710970352247,255,,,1711198825939,105
Chino,1002,,,1710765318629,50,1710782275069,50,1710924426757,50,,,1710802854533,148,1710848786383,80,1710859042095,53,1710864228608,50,1710892446511,97,1710955534676,69,1710766595293,50,1710958110648,50,1711018257866,255,,,,
molenzwiebel,988,,,1710756383489,50,1710760145905,50,1710761840788,50,1710899046206,180,1710807550666,148,,,1710849164845,53,1710849985369,50,,,,,1710760755473,50,1711033279677,50,,,1710983276871,307,,
v0lp3,957,,,1710770943711,50,1710928675694,50,1710856478697,50,,,1710886430236,148,1711033355381,80,,,1710888613117,50,,,1711057928830,69,1710789534534,50,1710958772323,50,1711199891723,255,,,1711279150829,105
7Rocky,891,1711039510790,197,1710756082957,50,1710814169257,50,1710807758993,50,,,1711246931312,148,1711076242366,80,,,1710890926983,50,1710898346746,97,1710950261491,69,1710761839334,50,1711101606641,50,,,,,,
sypeeoui,793,1710896910508,197,1710756242207,50,1711040468799,50,,,1711160940059,180,,,,,,,1711314369968,50,1710795419724,97,1710970606117,69,1710798461202,50,1711017336125,50,,,,,,
